numero,texto,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion,materia,categoria,dificultad
1,"¿Cuál es el artículo de la Constitución que establece que la defensa de la persona humana y el respeto de su dignidad son el fin supremo de la sociedad y del Estado?","Artículo 1º","Artículo 2º","Artículo 3º","Artículo 44º",A,"El Artículo 1º de la Constitución Política del Perú establece que la defensa de la persona humana y el respeto de su dignidad son el fin supremo de la sociedad y del Estado.","Derecho Constitucional",Ambos,Media
2,"¿Quién es el Jefe Supremo de las Fuerzas Armadas y de la Policía Nacional del Perú?","El Ministro del Interior","El Comandante General de la PNP","El Presidente de la República","El Presidente del Congreso",C,"Según la Constitución, el Presidente de la República es el Jefe Supremo de las Fuerzas Armadas y de la Policía Nacional.","Derecho Constitucional",Ambos,Fácil
3,"¿Cuál es el plazo máximo de detención policial en caso de flagrante delito?","24 horas","48 horas","72 horas","7 días",B,"La Constitución establece que la detención no durará más del tiempo estrictamente necesario para la realización de las investigaciones y, en todo caso, detención policial no puede exceder de 48 horas.","Derecho Procesal Penal",Ambos,Media
4,"¿Qué son los derechos fundamentales?","Derechos que solo tienen los ciudadanos peruanos","Derechos inherentes a la persona humana reconocidos por la Constitución","Derechos que se obtienen con la mayoría de edad","Derechos exclusivos de funcionarios públicos",B,"Los derechos fundamentales son aquellos inherentes a la persona humana, reconocidos y protegidos por la Constitución.","Derechos Humanos",Ambos,Fácil
5,"¿Qué es la flagrancia delictiva?","Cuando se sospecha de alguien por sus antecedentes","Cuando el delito es descubierto inmediatamente después de cometido","Cuando existe una orden judicial de detención","Cuando se investiga un delito pasado",B,"La flagrancia ocurre cuando el agente es descubierto realizando el hecho punible o acaba de cometerlo, siendo posible su detención inmediata.","Derecho Penal",Oficiales,Media
6,"¿Cuál es la función principal de la Policía Nacional del Perú?","Hacer leyes para la seguridad ciudadana","Juzgar a los delincuentes","Garantizar, mantener y restablecer el orden interno","Administrar los centros penitenciarios",C,"La finalidad fundamental de la PNP es garantizar, mantener y restablecer el orden interno. Presta protección y ayuda a las personas y a la comunidad.","Función Policial",Ambos,Fácil
7,"¿Cuántos días tiene el Fiscal para formalizar la investigación preparatoria en casos complejos?","30 días","60 días","90 días","120 días",C,"En casos complejos, el Fiscal tiene un plazo de 90 días para formalizar la investigación preparatoria.","Derecho Procesal Penal",Oficiales,Difícil
8,"¿Qué documento autoriza el ingreso a un domicilio sin consentimiento del propietario?","Orden del Fiscal","Orden del Juez","Orden del Comisario","Orden del Ministerio del Interior",B,"El ingreso a un domicilio sin consentimiento requiere una orden judicial, salvo casos de flagrancia o peligro inminente.","Derecho Procesal Penal",Ambos,Media
9,"¿Cuál es el principio que establece que nadie puede ser juzgado dos veces por el mismo delito?","Non bis in idem","In dubio pro reo","Nullum crimen sine lege","Habeas corpus",A,"El principio Non bis in idem (no dos veces por lo mismo) prohíbe juzgar a una persona dos veces por el mismo hecho.","Derecho Penal",Ambos,Media
10,"¿Qué acción de garantía protege la libertad individual?","Acción de amparo","Habeas corpus","Habeas data","Acción de cumplimiento",B,"El Habeas Corpus es la acción de garantía constitucional que protege la libertad individual y derechos conexos.","Derecho Constitucional",Ambos,Fácil
